variety_id,species,variety_name,scientific_name,plant_type,days_to_maturity_min,days_to_maturity_max,sun_requirement,spacing_inches_min,spacing_inches_max,start_method,pinch_at_height_inches,stem_length_inches_min,stem_length_inches_max,bloom_size_inches_min,bloom_size_inches_max,vase_life_days_min,vase_life_days_max,cut_and_come_again,succession_interval_days,bloom_color,usda_zone_perennial_min,usda_zone_perennial_max,overwintering_method,variety_notes,sources,source_notes,confidence,last_verified_date
gomphrena_qis_formula,gomphrena,QIS Formula Mix,Gomphrena globosa,annual,85,100,full sun,9,12,indoor start 4-6 weeks before last frost,,18,30,,1,7,10,TRUE,,"mix: magenta, pink, purple, white, red",,,Annual; excellent for drying — harvest in full color and hang upside down,"Also called Globe Amaranth. Small papery clover-like ""globes"" about 1"" across — unique texture in bouquets. Heat and drought-tolerant — thrives in hot humid weather. Long vase life fresh and indefinite dried. QIS series bred for cut flower production with taller stems. Prolific producer throughout summer.",Johnny's Selected Seeds; Floret Library,Excellent filler/textural element — dries beautifully.,high,2026-04-24
amaranth_hopi_red_dye,amaranth,Hopi Red Dye,Amaranthus cruentus,annual,100,120,full sun,12,18,direct sow after frost or indoor start,,48,72,,,7,10,TRUE,,deep burgundy-red tassels and leaves,,,Annual; edible seeds can be harvested for grain,Dual-purpose: ornamental cut flower AND edible grain (Hopi traditional food crop — dark red dye from flowers). Tall plants (4-6 feet) with long upright burgundy plumes or drooping tassels depending on variety. Dramatic in arrangements and landscape. Heat-tolerant. Leaves also edible as greens. Plant is its own statement piece.,Baker Creek; Native Seeds/SEARCH; Johnny's Selected Seeds,Traditional Hopi crop — cultural significance in addition to ornamental and culinary value.,high,2026-04-24
amaranth_love_lies_bleeding,amaranth,Love Lies Bleeding,Amaranthus caudatus,annual,90,110,full sun,12,18,direct sow after frost,,36,60,,,7,10,TRUE,,dramatic pendulous deep red-burgundy tassels,,,Annual; self-seeds readily,"Victorian heirloom. Dramatic CASCADING rope-like red tassels that can reach 2 feet long hanging from the plant. Romantic gothic cottage-garden aesthetic. Provides unique ""trailing"" texture in arrangements. Works beautifully with dahlias, ranunculus, garden roses for romantic design. Edible grain and greens (also called Inca Wheat).",Baker Creek; Floret Library; Johnny's Selected Seeds,Pendulous/cascading form distinguishes from upright Amaranthus cruentus.,high,2026-04-24
stock_iron_series,stock,Iron Series,Matthiola incana,hardy biennial (grown as annual),100,120,full sun,6,9,indoor start 8-10 weeks before last frost; needs cool (50-60F) germination,,24,36,,1,7,10,FALSE,,"spires of fragrant blooms: apricot, white, pink, purple",,,Cool-season — plant in very early spring or late fall (zone 7+). Intolerant of heat.,"Intensely clove-scented spires of double flowers. Cool-season flower — plant early, finishes before summer heat. Iron series is bred for single-cut production with long uniform stems. Seedlings show ""double selector"" — pale leaves = double flowers; dark leaves = singles (cull singles for cutting garden). Requires cool temperatures to bloom properly.",Floret Library; Johnny's Selected Seeds,Cool-season timing and the double-selector trick are critical for success.,high,2026-04-24
larkspur_sublime_mix,larkspur,Sublime Mix,Consolida ajacis,hardy annual,100,120,full sun,6,9,direct sow fall (zones 6+) or very early spring — needs cold to germinate,,36,48,,1,7,10,FALSE,,"mix: deep blue, purple, pink, rose, white",,,Hardy annual — requires cold stratification to germinate. Fall sowing works best in zones 5+. Reseeds reliably once established.,"Annual cousin of perennial delphinium. Tall spires of delicate blooms in classic cool colors including the rare true-blue. Must have cold stratification — either direct-sow in late fall, or chill seeds in fridge for 2 weeks before spring sowing. Cool-season — heat-intolerant. TOXIC if ingested — keep away from pets and children. Dries beautifully for dried arrangements.",Floret Library; Johnny's Selected Seeds,Cold requirement is commonly missed — unchilled seeds won't germinate.,high,2026-04-24
bells_of_ireland,bells_of_ireland,Pixie Bells,Moluccella laevis,annual,95,110,full sun,9,12,direct sow or indoor start after cold stratification (2 weeks in fridge),,24,36,,,7,10,FALSE,,apple-green bell-shaped calyxes on tall spikes,,,Annual — self-seeds if allowed,Unique upright spikes lined with apple-green bell-shaped calyxes (the calyx is what's ornamental — tiny white flowers inside). Provides distinctive structural element in bouquets. Seeds need cold stratification to germinate. Be careful — plant has small thorns. Dries beautifully — color fades to straw but form holds.,Floret Library; Johnny's Selected Seeds; Baker Creek,Cold stratification is essential — many gardeners fail with unchilled seeds.,high,2026-04-24
poppy_iceland_champagne_bubbles,poppy,Champagne Bubbles (Iceland),Papaver nudicaule,short-lived perennial (grown as annual),120,150,full sun,6,9,indoor start 10-12 weeks before last frost (seeds need light — surface sow),,18,24,3,4,5,7,TRUE,,"mix: white, pink, apricot, yellow, orange, red",3,7,Short-lived perennial zone 3-7; usually grown as annual. Fall-plant in zone 7+ for stronger spring bloom.,"Iceland poppy — different from California poppy and opium poppy. Crepe-paper petals in pastel colors with black stamens. MUST USE SEARING TECHNIQUE to stop sap: dip stem ends in boiling water 7-10 seconds or sear with flame immediately after cutting, else flowers wilt within hours. Harvest when buds show color but before opening. Cool-season — finishes by early summer.",Floret Library; Johnny's Selected Seeds,The searing technique is essential — ordinary handling leads to wilted flowers.,high,2026-04-24
poppy_shirley_mother_of_pearl,poppy,Mother of Pearl (Shirley),Papaver rhoeas,hardy annual,75,90,full sun,6,9,direct sow fall or very early spring (taproot — direct sow only),,18,30,2,3,3,5,TRUE,,"mix: soft grays, lilacs, pinks, bicolors",,,Hardy annual — fall plant in mild zones; self-seeds abundantly,"Shirley poppy — strain of the common European field poppy. Mother of Pearl is the soft-palette version with gray/lilac/pink tones. Gardeners select and cross-pollinate for ghostly palette. Short-lived in vase (3-5 days) — best for garden and photography. Cool-season. Bred by artist Cedric Morris. Reseeds vigorously — once established, returns indefinitely.",Floret Library; Johnny's Selected Seeds; Baker Creek,Short vase life is inherent to Shirley poppies — primarily a garden flower rather than cut.,high,2026-04-24
snapdragon_chantilly_light_pink,snapdragon,Chantilly Light Pink,Antirrhinum majus,tender perennial (grown as annual),110,130,full sun to part shade,6,9,indoor start 10-12 weeks before last frost,6,30,42,1,2,7,14,TRUE,,soft light pink,7,10,Annual in cold zones; may survive zone 7+ winters,Single-color Chantilly variant — popular for wedding palette consistency. Open-face azalea form. See Chantilly Mix entry for full culture. Extremely long vase life. Solid-color bulk orders easier for large events than mix.,Floret Library; Johnny's Selected Seeds,Solid-color versions of popular mixes are valuable for designer/wedding work.,high,2026-04-24
flowering_tobacco_langsdorffii,flowering_tobacco,Langsdorffii,Nicotiana langsdorffii,annual,85,100,full sun to part shade,12,18,surface-sow (needs light); indoor start 8-10 weeks before last frost,,36,48,,1,7,10,TRUE,,chartreuse-green bell-shaped flowers,,,Annual — self-seeds readily,"Unusual chartreuse-green ornamental tobacco. Tall airy sprays of small dangling bell-shaped flowers — excellent ""texture"" / filler element for bouquets. Attracts hummingbirds. Fragrant in the evening. More refined than typical Nicotiana — no sticky leaves. Filler flower essential for designer-style bouquets.",Floret Library; Johnny's Selected Seeds,Green/chartreuse flowers are a specialty niche — designers love them.,high,2026-04-24
yarrow_cerise_queen,yarrow,Cerise Queen,Achillea millefolium,perennial,120,150,full sun,12,18,indoor start or divisions,,24,30,3,4,7,10,TRUE,,bright pink-magenta fading to rose,3,9,"Hardy perennial — cut back in fall, divide every 2-3 years",Heirloom pink yarrow. Bright pink flat-topped clusters. Same culture as Colorado Mix but solid color. Fades gradually as flowers age — each plant shows multiple color stages simultaneously. Dries beautifully. Drought-tolerant and reliable.,Johnny's Selected Seeds; Baker Creek,Older cultivar than modern Summer Pastels series.,high,2026-04-24
salvia_blue_bedder,salvia,Blue Bedder,Salvia farinacea,tender perennial (grown as annual),90,110,full sun,9,12,indoor start 8-10 weeks before last frost,10,18,24,,,7,10,TRUE,,deep violet-blue spikes,8,10,Perennial zone 8+; annual elsewhere. Drought-tolerant once established.,Mealycup sage. Long narrow spikes of true-blue flowers. Heat and drought tolerant — productive through hot humid summers. Attracts hummingbirds and pollinators. Reliable cut flower — one of the most dependable blues. Part of most flower-farmer standard plantings.,Johnny's Selected Seeds; Floret Library,Blue is rare in the flower world — salvia is one of the dependable sources.,high,2026-04-24
