variety_id,species,variety_name,scientific_name,plant_type,days_to_maturity_min,days_to_maturity_max,sun_requirement,spacing_inches_min,spacing_inches_max,row_spacing_inches,start_method,plants_per_sqft,growth_habit,mature_height_inches_min,mature_height_inches_max,first_harvest_year,productive_lifespan_years_min,productive_lifespan_years_max,usda_zone_min,usda_zone_max,disease_resistance,companion_notes,variety_notes,sources,source_notes,confidence,last_verified_date
bean_bush_provider,bean_bush,Provider,Phaseolus vulgaris,annual,48,55,full sun,3,4,24,direct sow,9,bush (self-supporting),18,24,,,,,,Resistant to bean mosaic virus; tolerates cooler soil than most beans — germinates at 60F,"Classic companion for corn, squash, cucumber. Adds nitrogen to soil. Avoid planting near onion/garlic family.","Earliest bush green bean. Germinates well in cool soil (60F) where other beans fail. Straight 5-6"" round dark green pods. Reliable heavy producer. Harvest when pods snap cleanly. Succession plant every 2-3 weeks for continuous supply. Widely recommended for short-season gardens.",Johnny's Selected Seeds; Territorial Seed; Fedco,Standard early bush bean — very dependable.,high,2026-04-24
bean_bush_contender,bean_bush,Contender,Phaseolus vulgaris,annual,50,57,full sun,3,4,24,direct sow,9,bush,18,24,,,,,,Resistant to common bean mosaic virus and powdery mildew; heat-tolerant,Three Sisters companion (corn + squash + beans). Good nitrogen fixer.,"1949 introduction, AAS winner. Heat-tolerant bush bean — keeps producing in hot weather where others stop. Tender stringless 6-7"" medium-green pods. Heavy yielder. Excellent flavor. One of the most widely recommended bush beans.",Johnny's Selected Seeds; Wildrose Heritage; Baker Creek,Heat tolerance distinguishes Contender from other bush beans.,high,2026-04-24
bean_bush_dragon_tongue,bean_bush,Dragon Tongue,Phaseolus vulgaris,annual,55,65,full sun,3,4,24,direct sow,9,bush,18,24,,,,,,Generally disease-resistant,Three Sisters companion. Purple streaks disappear when cooked — use fresh for visual appeal.,Dutch heirloom. Stunning pale yellow pods with bright purple streaks. Flat wax-bean type. Excellent snap bean flavor fresh; dries well as shell bean. Purple streaks disappear when cooked. Dual-purpose: eat young as snap bean or mature as shell/dry bean. Productive. Ornamental as well as delicious.,Johnny's Selected Seeds; Baker Creek,Popular dual-purpose heirloom; striking visual appeal.,high,2026-04-24
bean_pole_kentucky_wonder,bean_pole,Kentucky Wonder,Phaseolus vulgaris,annual,65,75,full sun,4,6,36,direct sow at base of trellis,4,climbing pole (needs 6-8ft support),72,120,,,,,,Resistant to rust; good general disease resistance,MUST be trellised — needs 6-8 foot support. Good climber for Three Sisters plantings on corn.,"Heirloom dating to 1864 — pre-Civil War variety. Old Homestead / Kentucky Wonder classic pole bean. 7-9"" green pods with old-fashioned rich ""beany"" flavor that many consider the best of any green bean. Very productive — single planting provides all season. Heavy yields over extended harvest window. Strings somewhat as it matures — pick young and tender.",Wildrose Heritage; Baker Creek; Johnny's Selected Seeds,Flavor classic — many gardeners prefer this over modern stringless varieties.,high,2026-04-24
bean_pole_blue_lake,bean_pole,Blue Lake Pole,Phaseolus vulgaris,annual,60,75,full sun,4,6,36,direct sow,4,climbing pole,60,84,,,,,,Resistant to common bean mosaic virus,Trellis with strong support. Good companion for corn (classic Three Sisters).,"Originally bred in Oregon. Stringless 6-7"" round dark green pods with tender flesh and rich bean flavor. Heavy producer. Slightly earlier than Kentucky Wonder. Excellent fresh, frozen, and canned. Classic commercial variety for good reason. Pole form is heavy yielder; bush form also available (Blue Lake 274) with different traits.",Johnny's Selected Seeds; Territorial Seed; Baker Creek,Blue Lake pole and bush are different varieties — pole generally higher yielding over longer season.,high,2026-04-24
bean_pole_scarlet_runner,bean_pole,Scarlet Runner,Phaseolus coccineus,tender perennial (grown as annual),65,90,full sun,6,8,36,direct sow,4,climbing pole,72,120,,,,7,11,Generally disease-resistant,Bright red flowers attract hummingbirds and bees. Ornamental edible — great on trellises or arbors as visual feature.,"Different species from common beans (P. coccineus vs P. vulgaris). Stunning bright scarlet flowers attract hummingbirds all season. Young pods edible green (7-12"" long); mature pinto-like beans excellent as shelled or dried beans. In zones 7+, roots may survive winter and regrow. Traditional English garden plant. Can be grown purely ornamentally for flowers.",Johnny's Selected Seeds; Baker Creek; Territorial Seed,"Distinct species — cannot cross with common beans, useful for seed savers.",high,2026-04-24
zucchini_black_beauty,zucchini,Black Beauty,Cucurbita pepo,annual,45,55,full sun,24,36,48,direct sow after frost,1,open bush (non-vining),24,36,,,,,,"Susceptible to squash bugs, vine borers, powdery mildew in late season",Classic Three Sisters planting with corn and beans. Plant nasturtiums nearby to repel pests. Harvest daily once production starts.,"1957 AAS winner. Glossy dark green fruits. THE classic American zucchini. Harvest at 6-8"" for best flavor — lets fruit get to baseball bat size only if you want seeds. Single plant produces 10-20 lbs in season. Male and female flowers on same plant — first 1-2 weeks of bloom are male only (no fruit until female flowers appear).",Johnny's Selected Seeds; Burpee; Baker Creek; Botanical Interests,Famously productive — 2-3 plants feeds a family.,high,2026-04-24
zucchini_costata_romanesco,zucchini,Costata Romanesco,Cucurbita pepo,annual,50,60,full sun,24,36,48,direct sow,1,semi-vining bush,24,36,,,,,,Standard squash family susceptibility,Lower yields than Black Beauty but superior flavor compensates for home gardeners.,Italian heirloom prized by chefs and cookbook authors. Ribbed pale green fruits with nutty rich flavor — widely considered the best-flavored summer squash. Dense flesh doesn't get watery when cooked. Lower yielding (~50% of Black Beauty) but each fruit is delicious. Star-shaped cross-section. Male flowers abundant for stuffing and frying.,Johnny's Selected Seeds; Baker Creek; Seed Savers Exchange,Flavor-first variety — choose over productivity-first varieties like Black Beauty for home gardens.,high,2026-04-24
squash_summer_yellow_crookneck,summer_squash,Yellow Crookneck,Cucurbita pepo,annual,50,60,full sun,24,36,48,direct sow,1,bush,24,36,,,,,,"Standard summer squash susceptibility to vine borers, powdery mildew, squash bugs","Harvest young and often — 4-6"" for best flavor and tender skin.","Traditional Southern US heirloom. Yellow fruits with curved neck and bumpy/warted skin at maturity. Sweet buttery flavor when harvested young (4-6""). Gets tough and seedy if allowed to grow too large. Classic for Southern cooking — squash casseroles, fritters. Pick at least every other day when producing.",Baker Creek; Southern Exposure Seed Exchange,Classic Southern heirloom — essential for Southern cuisine.,high,2026-04-24
squash_winter_butternut_waltham,winter_squash,Butternut Waltham,Cucurbita moschata,annual,95,110,full sun,36,60,72,direct sow after frost,,long vining (trellis or sprawl),,,,,,,,Cucurbita moschata species is RESISTANT to squash vine borer (unlike C. pepo) — major advantage,"Vine borer resistance makes moschata species (butternut, tromboncino, seminole) the best winter squash for borer-prone areas. Cure 10-14 days in sun after harvest for long storage.","1970 AAS winner, developed at Waltham, Massachusetts. THE benchmark butternut — sweet tan-colored pear-shaped fruits with deep orange flesh. 4-5 lb fruits. Long-keeping (4-6 months at room temp properly cured). Excellent for soups, roasting, baking. Vigorous vines spread 10-15 feet. Harvest when rinds are hard and stem starts to dry. Uses curing period for maximum sweetness.",Johnny's Selected Seeds; Wildrose Heritage; High Mowing Seeds; Burpee,Vine borer resistance (species-level trait) is THE reason moschata squash are home garden favorites in borer regions.,high,2026-04-24
squash_winter_delicata,winter_squash,Delicata,Cucurbita pepo,annual,80,100,full sun,36,48,60,direct sow,,semi-bush vining,,,,,,,,Susceptible to squash vine borer (like other C. pepo); good powdery mildew resistance in some strains,Storage life only 3 months — use up first before butternut. Eat skin and all — no peeling needed.,"Heirloom revived from near-extinction in 1990s. 6-9"" oblong cream-colored fruits with green stripes. Sweet rich flavor — often called ""sweet potato squash."" Thin edible skin — no peeling required. Shorter storage than butternut (3 months vs 6). Compact plants fit smaller gardens. Gaining popularity for its ease of preparation.",Johnny's Selected Seeds; Baker Creek; Territorial Seed,Near-extinction rescue — now mainstream popular variety.,high,2026-04-24
squash_winter_acorn,winter_squash,Acorn (Table Queen),Cucurbita pepo,annual,75,90,full sun,36,48,60,direct sow,,vining or bush (depending on variety),,,,,,,,Susceptible to squash vine borer,Moderate storage — use within 2-3 months. Often halved and baked or stuffed.,"1913 heirloom from Des Moines, Iowa. Dark green ribbed acorn-shaped fruits with orange-yellow flesh. Mild sweet flavor. 1-3 lb fruits — perfect serving size when halved. Classic baking squash. Bush forms (Table Ace, Honey Bear) available for smaller gardens.",Johnny's Selected Seeds; Burpee; Baker Creek,Multiple named strains and hybrids available — Table Queen is the original heirloom.,high,2026-04-24
squash_winter_spaghetti,winter_squash,Spaghetti,Cucurbita pepo,annual,90,100,full sun,36,48,60,direct sow,,vining,,,,,,,,Susceptible to squash vine borer,Stores 1-2 months. Unique texture — flesh separates into spaghetti-like strands when cooked.,"Originally from China via Japan. Oval tan-yellow fruit about 8-10"" long, 2-4 lbs. When baked, flesh pulls into long spaghetti-like strands — substitute for pasta in low-carb cooking. Mild flavor. Harvest when skin is hard and color turns yellow. A unique novelty squash with serious culinary utility.",Johnny's Selected Seeds; Burpee; Baker Creek,The low-carb pasta substitute — entire market niche based on texture.,high,2026-04-24
onion_walla_walla,onion,Walla Walla,Allium cepa,biennial (grown as annual),110,125,full sun,4,6,12,indoor start or sets,9,bulb,,,,,,,,Moderately resistant to diseases; watch for onion maggots and thrips,"LONG-DAY onion (needs 14-16 hr daylight to bulb) — plant in northern tier (zones 5-8). Do NOT plant in the South — will not bulb properly. Good companion for carrots, beets, brassicas, tomatoes. Bad for beans and peas.","Sweet mild short-storage onion. Large flat-topped fruits, white to yellow skin. Brought from Corsica to Walla Walla, WA in late 1800s. Lower sulfur content = sweeter flavor + shorter storage (use within 1-2 months). Classic Pacific Northwest sweet onion. Direct replacement for Vidalia in northern gardens.",Johnny's Selected Seeds; Territorial Seed; Baker Creek,CRITICAL: day-length sensitivity is the single most important onion planting fact. Wrong latitude = no bulbs.,high,2026-04-24
onion_candy,onion,Candy,Allium cepa,biennial (grown as annual),85,100,full sun,4,6,12,indoor start or transplants,9,bulb,,,,,,,,Good general disease resistance,DAY-NEUTRAL / INTERMEDIATE-DAY onion — works in most US latitudes (not extreme north or south). Most flexible onion for zones 5-7.,Sweet mild yellow onion with medium-large round bulbs. Day-neutral — one of the few onions that works across wide latitude range. Adaptable to zones 5-7. Shorter storage than long-day onions (2-3 months). Popular for home gardeners who don't know their day-length category.,Johnny's Selected Seeds; Territorial Seed,Day-neutral flexibility is the selling point for home gardeners uncertain about day-length.,high,2026-04-24
onion_red_burgundy,onion,Red Burgundy,Allium cepa,biennial (grown as annual),95,110,full sun,4,6,12,indoor start,9,bulb,,,,,,,,Moderate disease resistance,"SHORT-DAY onion (10-12 hours) — plant in southern tier (zones 7-10, south of 35N latitude). Will not bulb in the north.","Popular short-day red onion — the ""Southern onion"" choice. Deep red-purple globe-shaped bulbs with mild sweet flavor. 3-4 inch bulbs. Short storage (1-2 months). Best for fresh eating, salads, grilling. Plant in fall in the South for summer harvest.",Baker Creek; Burpee; Territorial Seed,Short-day category limits it to southern US — critical planting factor.,high,2026-04-24
onion_yellow_sweet_spanish,onion,Yellow Sweet Spanish,Allium cepa,biennial (grown as annual),110,125,full sun,4,6,12,indoor start or sets,9,bulb,,,,,,,,Moderate disease resistance,LONG-DAY onion — plant in northern tier (zones 5-8). Better storage than Walla Walla — 3-4 months.,"Classic heirloom long-day yellow onion. Large 4-6 inch globe-shaped bulbs with mild sweet flavor. Best storage of the sweet onions (3-4 months). Reliable producer across the North. Essential for canning, sautéing, and storage.",Johnny's Selected Seeds; Burpee; Baker Creek,Good balance of sweetness and storage — the workhorse long-day onion.,high,2026-04-24
garlic_music,garlic,Music,Allium sativum,"biennial (plant fall, harvest summer)",240,280,full sun,4,6,12,plant cloves in fall (October-November),9,upright bulb-forming,18,36,1,,,3,9,Good general disease resistance when rotated properly,"Plant cloves 2"" deep, pointed end up, in fall 4-6 weeks before hard freeze. Mulch heavily over winter. HARDNECK type: cut scapes (flower stalks) in June for bigger bulbs. Harvest when 4-5 lower leaves have browned (usually July).",Most popular hardneck garlic. Porcelain type with 4-5 large easy-to-peel cloves per bulb. Rich robust garlic flavor with lingering heat. Excellent cold-hardiness (zone 3). Large bulbs (2-3 inches). Hardnecks produce edible scapes (flower stalks) — a bonus harvest in early summer. Shorter storage (6 months) than softnecks but superior flavor.,Territorial Seed; Johnny's Selected Seeds; Filaree Garlic Farm,Hardneck vs softneck distinction: hardneck = cold hardy + better flavor + scapes + shorter storage; softneck = warm climate + longer storage + braidable.,high,2026-04-24
garlic_german_extra_hardy,garlic,German Extra Hardy,Allium sativum,biennial,240,280,full sun,4,6,12,plant cloves in fall,9,upright bulb-forming,18,36,1,,,3,9,Very hardy; good general disease resistance,Extremely cold-hardy — reliable choice for zone 3-4 growers.,Porcelain hardneck with 4-5 very large cloves per white bulb. Strong rich garlic flavor — one of the best-flavored hardnecks. Excellent cold tolerance (zone 3). Large uniform bulbs. Stores 6-8 months — longer than most hardnecks. Another top pick for northern gardeners.,Filaree Garlic Farm; Territorial Seed,Among the hardiest garlic varieties.,high,2026-04-24
garlic_inchelium_red,garlic,Inchelium Red,Allium sativum,biennial,210,250,full sun,4,6,12,plant cloves in fall,9,upright bulb-forming,18,30,1,,,3,9,Good general disease resistance,Softneck type — can be braided for storage hanging. No scapes to cut.,Artichoke-type softneck from Colville Indian Reservation in Washington. Rich mellow garlic flavor — won a 1990 Rodale Research taste test. 8-20 small-medium cloves per bulb. Excellent storage (9-12 months). Softneck = can be braided. More heat-tolerant than hardnecks — grows well zones 6-9.,Filaree Garlic Farm; Territorial Seed; Baker Creek,Best-tasting softneck per many growers.,high,2026-04-24
garlic_chesnok_red,garlic,Chesnok Red,Allium sativum,biennial,240,270,full sun,4,6,12,plant cloves in fall,9,upright bulb-forming,18,30,1,,,3,9,Good general disease resistance,"Hardneck type — cut scapes in June, harvest bulbs in July.","Purple-Stripe hardneck from Shvelisi, Republic of Georgia. 8-10 purple-blushed cloves per bulb. Rated the BEST garlic for roasting — mellow deep flavor sweetens and becomes creamy when baked. Excellent raw flavor too. 6-month storage. Beautiful purple-striped bulbs.",Filaree Garlic Farm; Territorial Seed,Considered the top roasting garlic.,high,2026-04-24
kale_lacinato,kale,Lacinato (Dinosaur/Tuscan),Brassica oleracea,biennial (grown as annual),60,70,full sun to part shade,12,18,24,direct sow or transplant,1,upright,24,36,,,,,,"Susceptible to cabbage worms, aphids, and flea beetles; generally hardy","Cold-hardy — flavor improves after frost. Harvest outer leaves continuously. Plant with dill, beets, onions. Avoid strawberries and beans.","Italian heirloom (16th century). Long narrow dark blue-green savoyed leaves with puckered texture — hence ""dinosaur"" nickname. Sweeter than curly kale — preferred by most cooks. Cold-hardy to 10F, flavor gets sweeter after frost. Frost-hardy enough to overwinter in zones 6+. Staple for Tuscan ribollita and kale salads.",Johnny's Selected Seeds; Baker Creek; Territorial Seed,Multiple names — Lacinato / Dinosaur / Tuscan / Cavolo Nero / Nero di Toscana all refer to the same variety.,high,2026-04-24
kale_red_russian,kale,Red Russian,Brassica napus,biennial (grown as annual),50,60,full sun to part shade,12,18,24,direct sow,1,upright,24,36,,,,,,Susceptible to cabbage worms and aphids,Great for baby-leaf salads — harvest young. More tender than other kales even at full size.,Different species (B. napus) from other common kales (B. oleracea) — won't cross with cabbage family. Introduced to North America by Russian traders. Blue-green flat oak-shaped leaves with distinctive red-purple veins. Mild sweet flavor — considered the most tender and easy-to-eat kale. Beautiful ornamental appearance. Faster-maturing than Lacinato.,Johnny's Selected Seeds; Baker Creek; Territorial Seed,Different species means it won't cross-pollinate with other brassicas — useful for seed saving.,high,2026-04-24
kale_winterbor,kale,Winterbor (Curly),Brassica oleracea,biennial (grown as annual),55,65,full sun to part shade,12,18,24,direct sow or transplant,1,upright,24,36,,,,,,Very cold-hardy; standard brassica pest pressure,Exceptional cold hardiness — stands up through heavy frost and snow.,F1 hybrid curly kale with tightly curled blue-green leaves. Extremely cold-hardy — overwinters reliably in zones 6+. Vigorous upright habit. Flavor improves dramatically after frost. Most productive curly kale for long-season harvest. The default commercial curly kale — what you see in grocery stores.,Johnny's Selected Seeds; Territorial Seed,Hybrid — won't come true from saved seed. Open-pollinated alternative: Vates.,high,2026-04-24
spinach_bloomsdale,spinach,Bloomsdale,Spinacia oleracea,annual,40,50,full sun to part shade,4,6,12,direct sow (cool weather),9,rosette,6,12,,,,,,Some resistance to blue mold; bolts in heat,Cool-season crop. Plant very early spring (as soon as soil is workable) and fall. Bolts quickly when days lengthen and temps rise.,"1826 heirloom — the oldest American spinach still grown. Thick dark green savoyed (crinkled) leaves with rich flavor. Slow to bolt for a spinach, but still a cool-season crop. Cold-hardy — can overwinter under mulch in zones 5+. Succession plant early spring; stops producing when days exceed 14 hours.",Baker Creek; Territorial Seed; Johnny's Selected Seeds,"Consider ""Tyee"" or ""Space"" F1 hybrids for better disease resistance and bolt resistance if heirloom status not required.",high,2026-04-24
broccoli_waltham_29,broccoli,Waltham 29,Brassica oleracea var. italica,biennial (grown as annual),70,85,full sun,18,24,36,indoor start 6-8 weeks before last frost,1,upright,24,30,,,,,,"Susceptible to cabbage worms, aphids, clubroot — rotate out of Brassicas for 3 years","Plant with dill, basil, beets, lettuce, onions, potatoes, spinach. Bad for strawberries and tomatoes. Harvest main head first — then smaller side shoots keep producing for weeks.","Bred at Waltham, Massachusetts in 1950s. Reliable cool-climate broccoli. Medium-large 4-6"" tight blue-green main heads followed by side shoots over several weeks. Good side-shoot production is the key feature — one plant yields many cuttings. Cold-hardy. Standard heirloom recommendation.",Johnny's Selected Seeds; Wildrose Heritage; Baker Creek,Classic heirloom — reliable but modern hybrids outyield it for commercial growers.,high,2026-04-24
carrot_scarlet_nantes,carrot,Scarlet Nantes,Daucus carota,biennial (grown as annual),65,75,full sun,2,3,12,direct sow (never transplant),16,taproot,,,,,,,,"Susceptible to carrot rust fly, wireworm; generally pest-tolerant","Companion plant with onions, leeks, chives (repel carrot fly) and tomatoes. Avoid dill (can stunt). Loose, rock-free soil 12"" deep for straight roots.","Heirloom dating to 1869. Sweet cylindrical 6-7"" roots with blunt tips — classic ""Nantes"" shape. Deep orange with crisp tender flesh. Sweet flavor. Best for fresh eating and juicing. Cool-season crop. Succession-plant spring and fall. Store in ground under mulch in zones 5+.",Johnny's Selected Seeds; Baker Creek; Territorial Seed,"Nantes type is the sweet-and-tender category — different from Danvers (wedge, storage) or Imperator (long, commercial).",high,2026-04-24
carrot_danvers,carrot,Danvers Half Long,Daucus carota,biennial (grown as annual),70,80,full sun,2,3,12,direct sow,16,taproot,,,,,,,,Good disease resistance; tolerates heavier soil than most carrots,More tolerant of heavy/clay soil than Nantes types. Heat-tolerant.,"Heirloom developed in Danvers, MA (1871). Wedge-shaped 6-7"" tapered roots with strong tops. Deep orange. Heavier texture than Nantes — better for cooking and storage (6+ months in cold storage). Tolerates heavier soil than most carrots. Heat-tolerant. A classic storage carrot.",Baker Creek; Johnny's Selected Seeds; Territorial Seed,Storage capability is the key differentiator from Nantes.,high,2026-04-24
beet_detroit_dark_red,beet,Detroit Dark Red,Beta vulgaris,biennial (grown as annual),55,65,full sun to part shade,3,4,12,direct sow,9,taproot with edible greens,,,,,,,,Generally disease-resistant; watch for leaf miners on greens,"Beet ""seeds"" are actually clusters of 3-6 seeds — thin to one plant per spot. Eat thinnings and tops as greens. Companion with onions, brassicas, lettuce. Avoid pole beans.",1892 heirloom. Dark red 3-inch round roots with sweet smooth flesh. Perfect shape for canning and roasting. Greens also excellent — chard-like flavor. Tolerates cool and warm temperatures. Reliable across broad range of conditions. The default beet variety for home gardens.,Wildrose Heritage; Baker Creek; Johnny's Selected Seeds,Classic American beet — reliable and widely adapted.,high,2026-04-24
radish_cherry_belle,radish,Cherry Belle,Raphanus sativus,annual,22,28,full sun to part shade,1,2,12,direct sow,16,short taproot,,,,,,,,Fast-maturing so minimal pest pressure; flea beetles may damage leaves,"Fastest vegetable to maturity — often used as a ""row marker"" for slower-germinating crops. Succession plant every 2 weeks for continuous supply.","1949 AAS winner. Round bright red roots with crisp white flesh and mild sweet heat. 22-28 day maturity — ready before most other crops. Excellent in salads. Harvest when 1"" diameter — gets pithy if left too long. Succession plant in cool weather (spring and fall). Bolts in heat.",Johnny's Selected Seeds; Burpee; Baker Creek,"THE beginner vegetable — super fast, super reliable.",high,2026-04-24
asparagus_jersey_knight,asparagus,Jersey Knight,Asparagus officinalis,perennial,730,1095,full sun,12,18,48,plant 1-year crowns in spring,,upright ferns,48,72,3,15,25,3,8,"Resistant to rust, fusarium, crown rot — bred specifically for disease resistance","DEDICATE A BED — asparagus lives 15-25 years and shouldn't be moved. Plant crowns 6-8"" deep in trench; backfill gradually. No harvest year 1. Light harvest year 2 (2-3 weeks). Full harvest year 3+ (6-8 weeks). Plant with tomatoes, parsley, basil (repels asparagus beetle).","ALL-MALE hybrid — no seed production means more spear production (males put energy into spears, females into seeds). Released by Rutgers University. Large thick dark green spears. Disease resistance bred in — major advantage over heirloom varieties like Mary Washington. Long-term investment: plant once, harvest for 20+ years.",Stark Bros; Johnny's Selected Seeds; Burpee,"All-male hybrid status is key — Jersey series (Knight, Supreme, Giant) all share this feature.",high,2026-04-24
rhubarb_victoria,rhubarb,Victoria,Rheum rhabarbarum,perennial,,,full sun to part shade,36,48,48,plant crowns or divisions in early spring,,clumping,24,36,2,10,20,3,8,Very hardy; minimal pest issues once established,NEVER eat leaves — toxic (oxalic acid). Eat stalks only. No harvest year 1 to establish. Light harvest year 2. Full harvest year 3+. Divide clumps every 5-8 years. Heavy feeder — compost annually. Plant with brassicas (repels pests).,1837 heirloom — the benchmark rhubarb variety. Large green-red stalks with milder less-tart flavor than modern red-stemmed varieties. Very productive and hardy. Needs cold winter dormancy (zone 3-8 only) — won't thrive in mild climates. Requires fertile well-drained soil. Harvest by pulling stalks (don't cut) — never take more than 1/3 of stalks at once.,Johnny's Selected Seeds; Territorial Seed; Burpee,"Widely available and reliable; ""Canada Red"" and ""Crimson Cherry"" offer redder stalks but less vigor.",high,2026-04-24
strawberry_seascape,strawberry,Seascape,Fragaria × ananassa,perennial (day-neutral),,,full sun,12,18,36,plant crowns or bare roots in spring,1,low clumping with runners,8,12,1,3,5,4,9,Resistant to verticillium wilt; some tolerance to leaf spot,"DAY-NEUTRAL variety — fruits continuously from spring through fall, not a single flush. Plant 12-15"" apart. Pinch first flowers year 1 for stronger plants year 2. Replace every 3-4 years as productivity declines. Plant with thyme, borage, lettuce.",Day-neutral breeding from UC Davis. Large bright red firm berries with excellent flavor. Fruits continuously from June through frost. Heat-tolerant — one of the best strawberries for warmer climates. Moderate runner production. Standard for farmers market growers in California.,Johnny's Selected Seeds; Nourse Farms; Stark Bros,"Three strawberry categories: June-bearing (single summer crop), Ever-bearing (2 crops), Day-neutral (continuous). Day-neutral is most useful for home gardeners.",high,2026-04-24
strawberry_albion,strawberry,Albion,Fragaria × ananassa,perennial (day-neutral),,,full sun,12,18,36,plant crowns in spring,1,low clumping with runners,8,12,1,3,5,4,9,"Resistant to verticillium wilt, phytophthora crown rot, and anthracnose crown rot",Day-neutral like Seascape. Produces fewer runners than June-bearing types — better for small gardens and raised beds.,Day-neutral release from UC Davis (2006) — now the dominant US commercial day-neutral. Long conical bright red berries with excellent sweet-tart balance. Firm texture — ships well. Superior disease resistance. Productive from June to frost. Most popular home garden day-neutral strawberry.,Johnny's Selected Seeds; Nourse Farms,UC Davis-bred; widely regarded as the top day-neutral for flavor and productivity.,high,2026-04-24
strawberry_honeoye,strawberry,Honeoye,Fragaria × ananassa,perennial (June-bearing),,,full sun,18,24,36,plant crowns in spring,1,low clumping with abundant runners,8,12,1,3,5,3,8,Good general disease resistance; very cold-hardy,June-bearing — single heavy crop in late spring / early summer. Runners need to be controlled or they'll take over. Pinch all flowers year 1 for establishment. Best for freezing and jam due to concentrated harvest.,"Released by Cornell University in 1979. Very hardy (zone 3). Bright red large firm berries in a single heavy June crop. Excellent cold tolerance — reliable in northern climates where day-neutrals struggle. Great flavor for jam, freezing, fresh eating. Productive runner formation — easy to propagate.",Nourse Farms; Stark Bros,Best June-bearer for cold climates; offers concentrated harvest for preservation.,high,2026-04-24
