variety_id,species,variety_name,scientific_name,chill_hours_min,chill_hours_max,self_fertile,pollinators,years_to_first_fruit_min,years_to_first_fruit_max,ripening_season,usda_zone_min,usda_zone_max,mature_height_ft_min,mature_height_ft_max,tree_spacing_ft_min,tree_spacing_ft_max,training_system,disease_notes,variety_notes,sources,source_notes,confidence,last_verified_date
pear_asian_hosui,pear_asian,Hosui,Pyrus pyrifolia,300,700,TRUE,Chojuro; 20th Century; Shinseiki; Shinko; Korean Giant; Bartlett,2,4,early to mid-August,4,9,10,20,12,15,modified central leader,Better fire blight resistance than many European pears; susceptible to bacterial canker,"Name means ""abundant juice"" or ""much water"" in Japanese. Consistently rated the best-tasting Asian pear at Dave Wilson Nursery tastings. Large brownish-orange russeted fruit with juicy sweet fine-grained white flesh. 12% sugar content. Balanced sweet-tangy flavor (slightly higher acid than other Asian pears). Vigorous tree with loose spreading growth habit. More tart in cool-climate / short-summer areas.",Stark Bros; Gardener's Path; One Green World; C&J Gardening Center; Legg Creek Farm; UC ANR,Fire blight susceptibility noted by UC ANR — not as clean as some sources suggest. Chill hours vary widely 300-700.,high,2026-04-24
pear_asian_chojuro,pear_asian,Chojuro,Pyrus pyrifolia,400,500,TRUE,Hosui; 20th Century; Shinseiki; Bartlett; Anjou,2,4,late August to early September,5,8,8,12,10,15,modified central leader,Moderate fire blight susceptibility,"Traditional Japanese variety. Firm gold-to-russet fruit with distinctive sweet butterscotch flavor. Stores up to 5 months. Round upright growth form. Good home-garden scale. Note: UC ANR considers Chojuro inferior quality vs newer varieties, but Gardener's Path rates it a home garden favorite.",Gardener's Path; NatureHills; Legg Creek Farm; UC ANR,"Quality assessments vary — commercial orchard sources now consider it dated, but home gardeners still value it for unique flavor.",medium,2026-04-24
pear_asian_20th_century,pear_asian,20th Century,Pyrus pyrifolia,300,500,TRUE,Shinseiki; Hosui; Chojuro; Bartlett,2,4,early August,5,10,12,18,12,15,modified central leader,Good fire blight resistance; susceptible to codling moth,"Also known as Nijisseiki — Japanese for ""Twentieth Century."" Golden-yellow fruit with rosy blush. Crisp apple-like texture with mild sweet flavor. Abundant, productive bearer requiring heavy thinning. Self-fertile but much larger crops with pollinator. Does NOT cross-pollinate effectively with European pears. Excellent cold hardiness (protect when temps fall below -20F). Pyramidal tree shape. Vibrant orange-red fall foliage. Ranks among most popular Asian pears in US.",Gardener's Path; Four Winds Growers; NatureHills; Garden.org; UC ANR,One of the most widely planted Asian pears in North America.,high,2026-04-24
pear_asian_shinko,pear_asian,Shinko,Pyrus pyrifolia,400,500,FALSE,Hosui; Chojuro; 20th Century; Shinseiki; Korean Giant,2,4,mid-to-late September,5,9,10,15,12,15,modified central leader,Good fire blight resistance (one of the best among Asian pears),Medium-large russet-skinned fruit with crisp white flesh and rich sweet flavor — often rated among best-flavored Asian pears especially in hot climates. Productive tree requires heavy thinning. Keeps 2-3 months in cold storage. Particularly valued for fire blight resistance — does well in humid eastern climates where other Asian pears struggle.,Garden.org; UC ANR; Four Winds Growers,Garden.org author reports superior performance in zone 8 heavy clay compared to Hosui.,high,2026-04-24
plum_euro_stanley,plum_european,Stanley,Prunus domestica,700,800,TRUE,Italian Prune; Mount Royal; Green Gage; Damson; Brooks,3,5,early-to-mid September,4,8,12,20,12,18,open center,Resistant to black knot and bacterial spot; good disease resistance overall,"Licensed by Cornell University; introduced in 1926. THE standard European prune plum. Medium-large oval dark blue freestone fruit with yellow-green flesh. Excellent for fresh eating, drying (can be dried without pitting due to freestone habit), canning, and preserves. Blooms later than most plums — less susceptible to late frost. Self-fertile but heavier yields with a partner. Good for humid climates except where black knot is severe.",Stark Bros; Gardenia; Raintree Nursery; Gurney's; Minneopa Orchards; Plant Me Green; Fruits and Shoots; Trees of Antiquity,Chill hours 700-800 across sources. Zone range most commonly 5-7 per Stark Bros; 4-8 per Gardenia and Fruits and Shoots.,high,2026-04-24
plum_euro_italian,plum_european,Italian Prune,Prunus domestica,800,900,TRUE,Stanley; Green Gage; Mount Royal; Brooks (bloom overlap is poor — self-pollination is typical),3,5,mid-September,5,9,15,20,15,20,open center,Generally disease-resistant; standard plum pest pressure,Also called Fellenberg. Large dark purple-blue oval freestone fruit with yellowish-green flesh. Sweet rich flavor. One of the best European prune plums for drying — made into prunes commercially in Pacific Northwest. Blooms very late — poor pollination overlap with other plums means typically self-pollinated. Very productive once established.,Raintree Nursery; Stark Bros; Tree Care Zone,"Late bloom is a defining characteristic — ""blooms so late there is poor pollination overlap with other plums"" per Raintree.",high,2026-04-24
plum_euro_green_gage,plum_european,Green Gage,Prunus domestica,500,700,TRUE,Stanley; Italian Prune; Mount Royal; Damson,3,5,August,5,9,12,15,12,18,open center,Can be susceptible to black knot in humid climates,"Ancient French heirloom (known as Reine Claude), named for Sir William Gage who introduced it to England from France in 1725. Round medium-sized greenish-yellow fruit with amber-colored flesh. Considered one of the finest-flavored plums — exceptionally sweet with honey-like depth. Classic dessert plum.",Stark Bros; Trees of Antiquity; Cummins Nursery,Heirloom variety — extensively documented but chill hours inconsistent across sources.,medium,2026-04-24
plum_euro_damson,plum_european,Damson,Prunus insititia,800,900,TRUE,,3,5,September,4,8,12,20,15,20,open center,Excellent disease resistance; cold hardy; reliable,"Ancient species (Prunus insititia) distinct from typical European plums (Prunus domestica). Small oval dark blue-purple fruit with tart astringent flavor — not for fresh eating, but transforms beautifully into jams, preserves, and damson gin. Extremely reliable, cold hardy, disease-resistant. Self-fertile — no pollinator needed. Often the toughest plum for marginal climates.",Stark Bros; Cummins Nursery,A distinct species (P. insititia) rather than a cultivar of P. domestica. Primarily a cooking/preserving plum.,high,2026-04-24
plum_euro_mount_royal,plum_european,Mount Royal,Prunus domestica,700,800,TRUE,Stanley; Italian Prune; Green Gage,3,5,early-to-mid September,4,8,12,15,12,15,open center,Very cold hardy; good disease resistance,"Canadian origin (Montreal, Quebec) — bred for cold hardiness. Medium-sized dark blue oval fruit with yellow-green flesh. Sweet flavor ideal for fresh eating, canning, and preserves. Freestone. Good companion pollinator for Stanley. Cold-hardy to zone 4.",Stark Bros; Minneopa Orchards,Bred for cold hardiness — key feature is zone 4 reliability.,medium,2026-04-24
plum_japanese_santa_rosa,plum_japanese,Santa Rosa,Prunus salicina,300,700,TRUE,Burbank; Shiro; Satsuma; Methley; Elephant Heart; Ozark Premier,2,5,early-to-mid August,5,9,15,25,15,20,open center,Susceptible to bacterial spot; somewhat resistant to black knot,"Bred by Luther Burbank in Santa Rosa, California and introduced in 1906. Long considered the industry standard for Japanese plum flavor. Medium-sized round fruit with purplish-red skin speckled with pale dots. Yellow flesh near pit, deep red near skin. Rich aromatic flavor. Self-fertile and considered a ""universal pollenizer"" for Japanese and hybrid plums. Low chill makes it adaptable from Michigan to Texas. Tolerates cold down to -10F.",Fast Growing Trees; Stark Bros; Cummins Nursery; Chestnut Hill Nursery; Minneopa Orchards; Tree Care Zone,"Chill hours vary from 300 (Fast Growing Trees, Stark Bros) to 700 (Cummins Nursery). Most home-orchard sources cite the lower number; commercial sources higher.",high,2026-04-24
plum_japanese_shiro,plum_japanese,Shiro,Prunus salicina,500,800,FALSE,Santa Rosa; Methley; Burbank; Ozark Premier; Beauty,2,4,July,5,9,15,20,15,20,open center,Moderate disease resistance,"Bred by Luther Burbank around 1899. ""Shiro"" is Japanese for white. Yellow-skinned medium-sized round fruit with juicy amber flesh. Sweet mild flavor. Very heavy producer — requires thinning. Early-ripening (July) — good for extending plum harvest at the beginning. Not self-fertile — requires Japanese plum pollinator.",Stark Bros; Cummins Nursery; NatureHills,Consistent data across sources.,high,2026-04-24
plum_japanese_methley,plum_japanese,Methley,Prunus salicina,150,250,TRUE,Santa Rosa; Shiro; Burbank; Beauty,2,4,June-July,4,9,15,25,12,15,open center,Very winter hardy and disease resistant,"Believed to be a Japanese-American hybrid, discovered as a chance seedling in South Africa in the early 1920s. Beloved by home growers since. Red-purple clingstone fruit with deep crimson juicy flesh. Mild sweet flavor. LOWEST CHILL requirement of all plums — only 150 hours needed. Blooms late which helps avoid spring frosts despite low chill. Self-fertile and blooms heavily attracting pollinators.",Raintree Nursery; Stark Bros; NatureHills; Tree Care Zone,"Raintree notes ""Lowest chill of all plums - only 150 hours.""",high,2026-04-24
plum_japanese_ozark_premier,plum_japanese,Ozark Premier,Prunus salicina,600,800,FALSE,Santa Rosa; Shiro; Methley; Burbank,2,4,mid-August,5,8,15,20,15,20,open center,Moderate disease resistance; standard plum pest pressure,"Bred at the University of Missouri, introduced in 1946. Extra-large (up to 3 inches) red-blushed pink-skinned fruit with yellow flesh — among the largest of Japanese plums. Sweet juicy flavor. Good pollinator partner for Santa Rosa and Methley. Requires cross-pollination.",Stark Bros,Less documented than Santa Rosa but solid data from primary source.,medium,2026-04-24
plum_japanese_toka,plum_japanese,Toka,Prunus salicina x americana,400,600,FALSE,Santa Rosa; Superior; Pipestone; Waneta; Methley,2,4,mid-August,3,8,12,20,15,20,open center,Excellent cold hardiness; good disease resistance; reliable in cold climates,Also known as Bubblegum plum due to distinctive bubblegum-like flavor. Cold-hardy hybrid (Japanese x American plum) bred by N.E. Hansen at South Dakota State University in 1911. Medium-sized red-skinned fruit with yellow flesh. Reliable fruit set in zone 3-4 where most plums fail. Good pollinator for other American and American hybrid plums. Requires cross-pollination.,Stark Bros; Cummins Nursery,Cold-hardy hybrid species crosses — essential for zone 3-4 growers.,medium,2026-04-24
apricot_moorpark,apricot,Moorpark,Prunus armeniaca,600,700,TRUE,,2,3,mid-July,4,8,10,15,10,12,open center,Susceptible to bacterial canker in wet climates; spray copper preventatively,"Heirloom from England late 1600s, mentioned in Jane Austen's Mansfield Park (1814). Large 2-2.5 inch golden-orange fruit with red blush; freestone. Very early bloomer — requires frost protection in zones 5-6. Blooms in April. Self-fertile but yields improve with second apricot nearby.",Stark Bros; One Green World; Planting Justice; J. Frank Schmidt; Gardenia; NatureHills; Trees of Antiquity,Height varies widely across sources (10-30 ft); used 10-15 ft as the consistent middle. Diggers Club (AU) lists 350 chill hours but that conflicts with 5 US sources at 600-700.,high,2026-04-24
apricot_tilton,apricot,Tilton,Prunus armeniaca,600,800,TRUE,,2,3,mid-to-late July,5,8,15,20,15,20,open center,Good disease resistance; less susceptible to bacterial canker than some apricots,"Classic California commercial apricot, popular since the 1890s. Medium-large golden-yellow fruit with red blush. Sweet rich flavor. Freestone. Excellent for canning, drying, and fresh eating. Self-fertile. Good pollinator for Moorpark.",Dave Wilson Nursery; Stark Bros,Long-established commercial variety.,high,2026-04-24
apricot_harcot,apricot,Harcot,Prunus armeniaca,700,900,TRUE,,2,3,mid-July,4,9,12,15,15,20,open center,"Resistant to bacterial spot, brown rot, and perennial canker — among the most disease-resistant apricots","Developed at Harrow Research Station in Ontario, Canada. Late bloomer — avoids frost damage better than most apricots. Large orange-pink fruit with juicy rich flavor. Freestone. Self-fertile. Excellent cold hardiness. Outstanding disease resistance makes it ideal for humid eastern climates.",Stark Bros; Cummins Nursery; One Green World,Harrow breeding program focus on disease resistance shows in this variety.,high,2026-04-24
apricot_goldcot,apricot,Goldcot,Prunus armeniaca,800,1000,TRUE,,3,5,mid-to-late July,4,8,15,20,15,20,open center,Excellent cold hardiness and bud hardiness; some disease resistance,Released by Michigan State University in 1967. Medium-large golden-yellow freestone fruit. Late bloom makes it frost-resistant. Specifically bred for cold climates — one of the best apricots for zone 4. Sweet flavor. Self-fertile and vigorous grower.,Stark Bros,Less commonly sold but well-documented at Stark Bros.,medium,2026-04-24
apricot_puget_gold,apricot,Puget Gold,Prunus armeniaca,600,800,TRUE,,3,4,August,5,9,12,15,15,20,open center,Better than average tolerance to bacterial canker and brown rot; adapted to wet climates,Released by Washington State University in 1953. Medium-sized orange-red fruit with excellent flavor. Specifically selected for Puget Sound maritime climate — tolerates wet springs and cool summers better than most apricots. Self-fertile. Ideal for Pacific Northwest.,Raintree Nursery; One Green World,Niche variety bred for Pacific Northwest conditions — essential for maritime growers.,medium,2026-04-24
fig_chicago_hardy,fig,Chicago Hardy,Ficus carica,100,300,TRUE,,1,3,August to October,5,10,10,15,10,15,bush form (multi-stem),Excellent disease and pest resistance; few insect problems,"Also called Bensonhurst Purple. The most cold-hardy fig available. Stems hardy to 10F; roots survive to -20F. In zone 5-6, stems may die back to ground in winter but will regrow from roots and produce fruit on new wood. Zone 5 with heavy mulch and protection. Purple-skinned medium fruit with sweet strawberry-pink flesh. Self-fertile common fig — no pollinator wasp required.",Gardener's Path; The Fig Father; Online Fig Trees; Henderson Garden Supply; TreeVitalize,Best choice for zone 5-6 in-ground growing. Will die back in cold winters but reliably regrows.,high,2026-04-24
fig_brown_turkey,fig,Brown Turkey,Ficus carica,100,300,TRUE,,1,3,two crops: June (breba) and August-October (main),6,10,10,20,10,20,bush or small tree,"Shallow, somewhat invasive roots; otherwise disease-resistant","The most adaptable and widely-grown fig in the US. Cold-hardy to 10F — hardy in zone 7-9, overwinters in zone 6 with protection. Often produces two crops per year (breba + main). Bronze-purple fruit with mild sweet honey-like flavor. Self-fertile common fig. Forgiving of varied conditions. Can be pruned into bonsai or kept small in containers. Multiple varieties share this name (California Brown Turkey vs English Brown Turkey).",Henderson Garden Supply; Gardener's Path; Gardening Know How; Silver Run Forest Farm; PlantingTree,"Be aware that ""Brown Turkey"" refers to multiple different cultivars — California Brown Turkey and English Brown Turkey are distinct.",high,2026-04-24
fig_celeste,fig,Celeste,Ficus carica,100,300,TRUE,,1,3,late summer,6,10,10,15,10,12,bush form,"Closed-eye fruit (""bee-less"" type) resists souring and pest entry — especially valuable in humid climates","Also called Celestial or ""Sugar Fig"" — cherished since the 1600s. Hardy down to 5-10F — slightly more cold-hardy than Brown Turkey. Recovers quickly from winter dieback. Rosy-purple to light purple-brown medium fruit with intensely sweet honey flavor. THE best fig for humid Deep South — closed eye prevents souring and pest damage in wet heat. Popular in Louisiana. Self-fertile common fig.",Gardener's Path; Online Fig Trees; The Fig Father; Silver Run Forest Farm; TreeVitalize; Gardening Know How,Closed-eye (bee-less) structure is the defining feature — essential for humid southern growers.,high,2026-04-24
fig_black_mission,fig,Black Mission,Ficus carica,100,200,TRUE,,2,3,two crops: June and August-October,7,11,15,30,15,25,tree form,Good disease resistance; thrives in dry Mediterranean-like climates,Classic warm-climate fig — the iconic California commercial variety. Less cold-hardy than Chicago Hardy or Brown Turkey (zone 7+). Large tree habit — can reach 30 feet unpruned. Deep purple-black skin with rich strawberry-red interior. Honey-sweet jammy intense flavor — rated best-tasting by many. Self-fertile common fig. Two crops per year.,Henderson Garden Supply; Gardener's Path; The Fig Father,Best suited to zone 7+ climates. Richer flavor than Chicago Hardy but less cold-hardy.,high,2026-04-24
fig_kadota,fig,Kadota,Ficus carica,100,200,TRUE,,2,4,late summer,7,11,10,20,15,20,bush or small tree,Good general disease resistance,"Yellow-green ""honey fig"" — lighter colored skin with amber cream flesh. Excellent for drying and canning (commercially grown for canning). Flavor shines when dried; texture becomes spreadable like jam when cooked. Low chill requirement. Needs sunshine and dry soil. Self-fertile common fig.",Silver Run Forest Farm,Primarily a commercial canning fig; also grown by home gardeners in zone 7+.,medium,2026-04-24
fig_desert_king,fig,Desert King,Ficus carica,100,200,TRUE,,2,3,July (breba crop only in PNW),6,10,10,20,15,20,bush or small tree,Excellent cold hardiness and reliable production in cool-summer climates,THE best fig for the Pacific Northwest and other cool-summer maritime climates. Reliably ripens its breba (first) crop even where other figs fail. Medium-large green-skinned fruit with strawberry-red flesh. Sweet rich flavor. Main crop typically doesn't mature in cool climates but breba crop alone is generous. Self-fertile common fig.,Raintree Nursery; One Green World,Niche but essential variety for Pacific NW growers.,medium,2026-04-24
pawpaw_sunflower,pawpaw,Sunflower,Asimina triloba,400,500,TRUE,Shenandoah; Susquehanna; Mango; Overleese; NC-1,3,5,late August to early September,5,9,15,25,10,15,natural / minimal pruning,Less resistant to phyllosticta spot than other pawpaws; otherwise pest and disease free,"Selected from the wild in Chanute, Kansas (1970). One of the older named varieties. Often cited as self-fertile though this is debated by expert growers. Large fruit with yellow flesh. Can have a bitter aftertaste in some fruit depending on the year. Low acetogenin content. Falling out of favor with newer improved varieties but still widely planted. Pawpaws need 2200 Growing Degree Days to ripen fruit.",Cultivar.guide; Raintree Nursery; Clemson HGIC,"""Self-fertile"" claim is questionable per Cultivar.guide — most growers still recommend cross-pollination.",medium,2026-04-24
pawpaw_shenandoah,pawpaw,Shenandoah,Asimina triloba,400,500,FALSE,Susquehanna; Sunflower; NC-1; Mango; Potomac,3,5,September,5,8,15,20,10,15,natural / minimal pruning,No significant disease or pest problems; naturally resistant,"Patented variety developed by Neal Peterson in Boyce, Virginia (patented 2004). Among the best-flavored and largest pawpaws — individual fruits weigh up to 1 lb. Sweet, flavorful, creamy-yellow custard-like flesh. Mild flavor — important quality since pawpaws are naturally rich and intense. Medium to large yellow fruit with few seeds. Zone 5-8 hardy to -20F. Flowers self-incompatible — requires genetically different pollinator.",Raintree Nursery; NC State Extension; One Green World; Planting Justice,Peterson Pawpaw releases are the gold standard — Shenandoah specifically bred for mild flavor.,high,2026-04-24
pawpaw_susquehanna,pawpaw,Susquehanna,Asimina triloba,400,500,FALSE,Shenandoah; Sunflower; NC-1; Mango; Potomac,3,5,late September to October,5,8,15,25,10,15,natural / minimal pruning,Some reports of delayed graft failure or other shortened-lifespan issues,Patented variety by Neal Peterson (2004). Largest fruit of Peterson's collection — over 1 lb. Firmer than ripe avocado (firmer than most pawpaws). Stronger flavor than Shenandoah. Low seed ratio — only 3-6% seed. Late-ripening. Medium yields (~40 fruits per mature tree). Thick skin resists damage.,Raintree Nursery; NC State Extension; Cultivar.guide; Planting Justice,Tree lifespan concerns noted in some reports per Cultivar.guide — worth flagging.,medium,2026-04-24
pawpaw_mango,pawpaw,Mango,Asimina triloba,400,500,FALSE,Shenandoah; Sunflower; Susquehanna; NC-1,3,5,mid-September,5,8,15,20,10,15,natural / minimal pruning,Pest and disease free,Selection from Georgia. Fast-growing variety with large sweet orange-fleshed fruit. Tropical mango-like flavor. Heavier producer than some Peterson varieties. Zones 5-9.,Planting Justice; One Green World,Southern pawpaw selection — good for warmer parts of the pawpaw range.,medium,2026-04-24
pawpaw_overleese,pawpaw,Overleese,Asimina triloba,400,500,FALSE,Shenandoah; Sunflower; Susquehanna; Mango,3,5,September,5,9,15,20,10,15,natural / minimal pruning,Disease and pest resistant,"Selected in West Virginia by Homer Jacobs in 1934. Compact and hardy tree. Good crops of large, very sweet, orange-yellow fruit. One of the older heirloom pawpaw selections.",Planting Justice,Well-established heirloom variety.,medium,2026-04-24
persimmon_fuyu,persimmon,Fuyu,Diospyros kaki,100,200,TRUE,,3,5,October to November,7,10,12,20,12,15,modified central leader,Pest resistant; scale insects and aphids occasional; fungal leaf spot in humid climates,Also called Apple Persimmon. The world's most popular persimmon — outsells other major fruits. NON-ASTRINGENT — can be eaten while still firm and crisp like an apple. Flat tomato-shaped fruit. Self-fertile; sets parthenocarpic (seedless) fruit when grown alone. Honey-sweet flavor with mango notes. Gorgeous orange fall fruit persists on tree. Long-lived (50-75 years). Low chill requirement.,NatureHills; Food Forest Nursery; Already Smart Gardening; UC ANR; A Natural Farm; Grow Organic,Self-fertile with seedless fruit is a signature feature — but will produce seeded fruit if another persimmon is nearby.,high,2026-04-24
persimmon_hachiya,persimmon,Hachiya,Diospyros kaki,100,200,TRUE,,3,6,November to December,7,11,15,25,15,20,modified central leader,Generally pest and disease free,"The variety most often found in stores. 4-inch acorn/cone-shaped fruit, deep orange when ripe. Very sweet and flavorful when fully ripe — sweeter than non-astringent Fuyu. ASTRINGENT — MUST be eaten when fully soft-ripe (like pudding consistency) or it will pucker the mouth. Great dried. Late to ripen — best in long hot growing season. Striking fall color. Can be frozen then thawed to mimic ripening.",Raintree Nursery; Stark Bros; UC ANR; Grow Organic,Astringency when unripe is CRITICAL — significantly affects consumer experience and timing.,high,2026-04-24
persimmon_american,persimmon,American,Diospyros virginiana,0,0,FALSE,other American persimmon seedlings (many American persimmons are dioecious — need male and female trees),4,10,September to November (after frost),4,9,30,60,20,30,natural / minimal pruning,Very pest and disease resistant; hardy native species,"Native American persimmon (Diospyros virginiana) — very different from Asian kaki persimmons. Much more cold-hardy (zone 4-9 vs 7-10 for Asian). Small round golden-orange fruit about 1-2 inches — much smaller than Asian. VERY astringent until fully ripe after frost — tradition says ""not ripe until after frost."" Trees typically dioecious (separate male and female trees) but some self-fertile cultivars exist (e.g., Meader). Can reach 30-60 feet in ideal conditions.",Grow Organic; Gardenia,"Chill hours essentially zero (technically not applicable) because native species — set to 0 in schema. ""Not ripe until after frost"" is a critical home-growing fact.",high,2026-04-24
persimmon_meader,persimmon,Meader (American),Diospyros virginiana,0,0,TRUE,,3,5,September to October,4,9,15,25,15,20,natural / minimal pruning,Pest and disease resistant,Self-fertile American persimmon developed by Professor Meader at University of New Hampshire. Seedless fruits when grown alone. Reliable bearer even in marginal climates. About 2 inches in diameter. Astringent until fully soft-ripe. More manageable size than wild American persimmons. Excellent for northern growers who want persimmons but can't grow Asian types.,One Green World; Raintree Nursery,Meader is the go-to self-fertile American persimmon for home growers in zones 4-6.,high,2026-04-24
persimmon_nikitas_gift,persimmon,Nikita's Gift,Diospyros kaki x virginiana,100,300,TRUE,,3,5,October to November,5,9,15,20,15,20,modified central leader,Hardy hybrid vigor; pest and disease resistant,Hybrid of American x Asian persimmon developed at Nikitsky Botanical Garden in Crimea. Bridges the gap between the two species: Asian-quality large fruit (2-3 inch) with American cold-hardiness (hardy to zone 5). Astringent variety — must fully ripen. Excellent flavor. Self-fertile.,One Green World; Raintree Nursery,Increasingly popular as a way to grow quality persimmons in cooler zones.,high,2026-04-24
mulberry_illinois_everbearing,mulberry,Illinois Everbearing,Morus alba x rubra,200,400,TRUE,,2,3,June through August (extended season),4,9,20,35,25,30,natural / minimal pruning,Pest and disease resistant; very hardy,Classic American hybrid (white x red mulberry). Extended fruiting season — bears over 2-3 months rather than one flush. Large sweet dark purple-black fruit with excellent flavor. Self-fertile. Cold-hardy to zone 4 — hardiest named mulberry variety. Bears very young (often in year 2). Birds LOVE these. Plant intentionally as bird-distraction crop for other fruit trees.,One Green World; Stark Bros; Raintree Nursery,Long fruiting season is the defining feature.,high,2026-04-24
mulberry_pakistan,mulberry,Pakistan,Morus alba,300,400,TRUE,,2,3,June to July,7,10,20,30,20,30,natural / minimal pruning,Generally pest and disease resistant,Exceptional-flavored mulberry from Pakistan. Extraordinarily long dark red to nearly black fruit — up to 3-5 inches long (twice the length of most mulberries). Rich complex sweet-tart flavor — considered among the best-flavored mulberries. Less cold hardy than Illinois Everbearing (zone 7+). Self-fertile.,One Green World; Raintree Nursery,Exceptional fruit size and flavor — but warm-climate only.,high,2026-04-24
mulberry_oscar,mulberry,Oscar,Morus nigra x alba,200,400,TRUE,,2,3,June to July,5,9,20,30,20,30,natural / minimal pruning,Pest and disease resistant,Serbian variety with large black highly-flavored fruit. Sweet-tart with rich flavor. Self-fertile. Productive. Somewhat more cold-hardy than Pakistan.,One Green World; Raintree Nursery,Less commonly grown than Illinois Everbearing or Pakistan but worth noting.,medium,2026-04-24
mulberry_persian_black,mulberry,Persian Black,Morus nigra,400,600,TRUE,,3,5,July to August,6,9,15,30,20,30,natural / minimal pruning,Excellent disease resistance; long-lived,"True Persian/black mulberry (Morus nigra) — a different species from most American mulberries (M. alba, M. rubra, hybrids). Large dark purple-black fruit with intensely rich complex flavor — considered by many to be the finest-flavored mulberry. Long-lived trees (centuries in favorable climates). Self-fertile. Zone 6+ and prefers milder climates. Slow to bear (3-5 years) but worth the wait.",One Green World; Raintree Nursery,"Genuine Morus nigra — distinguish from other species marketed as ""black mulberry.""",medium,2026-04-24
pomegranate_wonderful,pomegranate,Wonderful,Punica granatum,100,200,TRUE,,2,3,October to November,7,10,10,15,15,20,multi-trunk shrub or small tree,Moderate disease resistance; generally hardy,THE iconic commercial pomegranate variety — accounts for most US production. Large red fruit with deep red arils and sweet-tart juicy flavor. Self-fertile shrub/small tree. Long-lived (can live 200+ years). Requires hot summers to ripen fruit properly. Zone 7+ with cold protection; reliably productive zone 8+.,Stark Bros; Raintree Nursery; One Green World,The default commercial pomegranate.,high,2026-04-24
pomegranate_salavatski,pomegranate,Salavatski,Punica granatum,100,200,TRUE,,2,3,September to October,6,10,10,12,15,20,multi-trunk shrub,Cold-hardy; one of the most disease-resistant pomegranates,Russian heirloom from the Caucasus — one of the most cold-hardy pomegranates (zone 6 with protection). Large fruit with deep red arils. Sweet-tart flavor. Self-fertile. Good choice for marginal pomegranate climates.,One Green World; Raintree Nursery,Cold-hardy pomegranate for growers pushing zone 6.,medium,2026-04-24
pomegranate_sweet,pomegranate,Sweet,Punica granatum,100,200,TRUE,,2,3,October,7,10,8,12,15,20,multi-trunk shrub,Standard pomegranate pest/disease concerns,"Sweeter, less acidic alternative to Wonderful. Pink-to-red arils with mild sweet flavor — good for fresh eating straight from the fruit rather than juicing. Ripens earlier than Wonderful. Self-fertile.",Raintree Nursery; One Green World,"Named ""Sweet"" literally for its flavor profile vs tarter varieties.",medium,2026-04-24
pomegranate_parfianka,pomegranate,Parfianka,Punica granatum,100,200,TRUE,,2,3,October,7,10,10,12,15,20,multi-trunk shrub,Good disease resistance,Russian heirloom considered the best-flavored pomegranate by many connoisseurs. Balanced sweet-tart flavor with berry notes. Small soft edible seeds (can eat whole — no spitting). Red arils in pink-red fruit. Self-fertile. Testing grounds at UC Davis consistently rate it among top flavor.,One Green World; Raintree Nursery,Increasingly popular with home growers for flavor and soft seeds.,high,2026-04-24
hazelnut_jefferson,hazelnut,Jefferson,Corylus avellana,800,1200,FALSE,"Theta; Yamhill; Eta; Santiam (must be compatible pollinizer, not all hazelnuts cross-pollinate)",3,5,September to October,4,9,15,18,15,20,bush or small tree,Resistant to Eastern Filbert Blight (EFB) — a major advance over older varieties,"Released by Oregon State University in 2009. EFB-RESISTANT — critical because Eastern Filbert Blight has historically devastated hazelnut plantings outside the Pacific Northwest. Large round kernels with excellent flavor. The best modern hazelnut variety for most of the US. NOT self-fertile — requires EFB-resistant pollinizer (Theta, Yamhill, Eta, Santiam — NOT older susceptible varieties).",One Green World; Raintree Nursery; OSU Extension,EFB resistance is the critical orchard-planning fact for hazelnuts.,high,2026-04-24
hazelnut_theta,hazelnut,Theta,Corylus avellana,800,1200,FALSE,Jefferson; Yamhill; Eta; Dorris,3,5,September to October,4,9,12,18,15,20,bush or small tree,EFB-resistant — Oregon State University release,Bred at Oregon State University as an EFB-resistant pollinizer for Jefferson. Produces good quality nuts as well. Late-season. Essential partner variety in EFB-resistant hazelnut orchards.,One Green World; OSU Extension,Primarily planted as pollinizer for Jefferson.,high,2026-04-24
hazelnut_yamhill,hazelnut,Yamhill,Corylus avellana,800,1200,FALSE,Jefferson; Theta; Eta,3,4,September to October,4,9,10,15,15,20,bush or small tree,Highly EFB-resistant — Oregon State release,Released by OSU in 2008. Excellent EFB resistance. Medium-sized round nuts with good flavor. Early ripening. Productive. Good pollinizer for Jefferson. Smaller stature makes it suitable for smaller plantings.,One Green World; OSU Extension,Early-bearing EFB-resistant variety.,high,2026-04-24
hazelnut_eta,hazelnut,Eta,Corylus avellana,800,1200,FALSE,Jefferson; Theta; Yamhill,3,5,October,4,9,12,18,15,20,bush or small tree,EFB-resistant — OSU release,EFB-resistant pollinizer released by OSU. Primarily planted as pollinator partner for other EFB-resistant varieties. Produces small but flavorful nuts. Late-season bloomer.,One Green World; OSU Extension,Pollinizer-focused variety.,medium,2026-04-24
